手机型号,手机品牌,是否gsm,是否cdma,网络类型,电池容量,电池拆卸,后置摄像,外观设计,是否触屏,操作系统,CPU性能,主屏尺寸,分辨率,是否有无线
apple iphone 4s,apple,是,是,单卡双模,1420,否,800,直板,触屏,ios,800,3.5,614400,是
apple iphone4s,apple,是,是,单卡双模,1420,否,800,直板,触屏,ios,800,3.5,614400,是
htc 7 mozart t8698,htc,是,是,单卡双模,1300,是,800,直板,触屏,windows,1024,3.7,384000,是
htc 710e g14 sensation,htc,是,是,单卡双模,1520,是,800,直板,触屏,android,1228,4.3,518400,是
htc a510e g13 wildfire s,htc,是,是,单卡双模,1230,是,500,直板,触屏,android,600,3.2,153600,是
htc a510s g13 wildfire s,htc,是,是,单卡双模,1230,是,500,直板,触屏,android,600,3.2,153600,是
htc a8181 desire,htc,是,是,单卡双模,1400,是,500,直板,触屏,android,1024,3.7,384000,是
htc a9191 desire hd,htc,是,是,单卡双模,1230,是,800,直板,触屏,android,1024,4.3,384000,是
htc amaze 4g,htc,是,是,单卡双模,1730,是,800,直板,触屏,android,1536,4.3,518400,是
htc c510e g15 salsa / weike,htc,是,是,单卡双模,1520,是,500,直板,触屏,android,800,3.4,153600,是
htc c720e one x,htc,是,是,单卡双模,1800,否,800,直板,触屏,android,1536,4.7,921600,是
htc desire g7 (a8181),htc,是,是,单卡双模,1400,是,500,直板,触屏,android,1024,3.7,384000,是
htc desire hd (a9191),htc,是,是,单卡双模,1230,是,800,直板,触屏,android,1024,4.3,384000,是
htc desire hd a9191,htc,是,是,单卡双模,1230,是,800,直板,触屏,android,1024,4.3,384000,是
htc desire s s510e,htc,是,是,单卡双模,1450,是,500,直板,触屏,android,1024,3.7,384000,是
htc evo 3d x515m,htc,是,是,单卡双模,1730,是,500,直板,触屏,android,1228,4.3,518400,是
htc g11 / s710e incredible s,htc,是,是,单卡双模,1450,是,800,直板,触屏,android,1024,4,384000,是
htc g13 wildfire s (a510e),htc,是,是,单卡双模,1230,是,500,直板,触屏,android,600,3.2,153600,是
htc g16 chacha (a810e),htc,是,是,单卡双模,1250,是,500,直板,触屏,android,800,2.6,153600,是
htc g6 legend (a6363),htc,是,是,单卡双模,1300,是,500,直板,触屏,android,600,3.2,153600,是
htc g7 desire (a8181),htc,是,是,单卡双模,1400,是,500,直板,触屏,android,1024,3.7,384000,是
htc g7 desire z (a7272),htc,是,是,单卡双模,1300,是,500,滑盖,否,android,800,3.7,384000,是
htc g7 wildfire (a3333),htc,是,是,单卡双模,1400,是,500,直板,触屏,android,1024,3.7,384000,是
htc g8 wildfire (a3333),htc,是,是,单卡双模,1300,是,500,直板,触屏,android,528,3.2,76800,是
htc google nexus one,htc,是,是,单卡双模,1400,是,500,直板,触屏,android,1024,3.7,384000,是
htc hd2 t8585,htc,是,是,单卡双模,1230,是,500,直板,触屏,windows,1024,4.3,384000,是
htc hero,htc,是,是,单卡双模,1350,是,500,直板,触屏,android,528,3.2,153600,是
htc legend (a6363),htc,是,是,单卡双模,1300,是,500,直板,触屏,android,600,3.2,153600,是
htc one s,htc,是,是,单卡双模,1650,否,800,直板,触屏,android,1536,4.3,518400,是
htc one v,htc,是,是,单卡双模,1500,否,500,直板,触屏,android,1024,3.7,384000,是
htc s510b rhyme,htc,是,是,单卡双模,1600,否,500,直板,触屏,android,1024,3.7,384000,是
htc s510e / g12 desire s,htc,是,是,单卡双模,1450,是,500,直板,触屏,android,1024,3.7,384000,是
htc s510e desire s,htc,是,是,单卡双模,1450,是,500,直板,触屏,android,1024,3.7,384000,是
