PHONE_VERSION,CLASS5,CLASS6,CLASS7,CLASS8,CLASS9,CLASS10,CLASS11,CLASS12,CLASS13,CLASS14,CLASS15
'samsung gt-n7000 / i9220 galaxy note',3,1,1,1,1,1,1,1,1,1,1
'samsung  gt-i8700 omnia 7',3,3,5,5,5,5,5,5,5,5,5
'htc touch hd2 (t8585)',3,3,5,5,5,5,5,5,5,5,5
'nokia 2610',4,4,4,4,4,4,4,4,4,4,4
'samsung gt-i9000 galaxy s',3,3,3,3,3,3,3,3,3,3,3
'nokia e5-00',1,5,6,6,6,6,6,6,6,6,6
'nokia 1661 / 1662',4,4,4,4,4,4,4,4,4,4,4
'nokia 6630',4,4,4,4,4,4,4,4,4,4,4
'nokia 6303 classic',4,4,4,4,4,4,4,4,4,4,4
'nokia n81',1,5,6,6,6,6,6,6,6,6,6
'samsung gt-i9100 galaxy s ii',3,1,1,1,1,1,1,1,1,1,1
'nokia 6500 classic',4,4,4,4,4,4,4,4,4,4,4
'nokia n8-00',2,2,6,6,6,6,9,9,9,9,9
'nokia e52',1,5,6,6,6,6,6,6,6,6,14
'nokia n72',4,4,4,4,4,4,4,4,4,4,4
'sony lt22i xperia p',2,2,2,2,2,2,2,2,2,2,2
'samsung sgh-f480 / f488',1,5,6,6,6,6,6,6,6,6,14
'nokia lumia 520',3,3,5,5,5,5,5,5,5,5,5
'samsung gt-s7500 galaxy ace plus',1,5,5,5,5,5,5,11,11,11,11
'samsung sgh-d608',4,4,4,4,4,4,4,4,4,4,4
'sony lt26w xperia acro s',2,2,2,2,2,2,2,2,2,2,2
'nokia lumia 610',1,3,5,5,5,5,5,5,5,5,5
'motorola xt702 milestone',1,5,5,5,5,5,5,5,5,13,13
'vinus vs4000',1,5,5,7,7,7,7,7,7,7,7
'nokia 5800i xpressmusic',1,5,6,6,8,8,8,8,8,6,14
'oppo x909',0,0,0,0,0,0,0,0,0,0,0
'htc g7 wildfire (a3333)',1,3,5,5,5,5,5,5,5,5,5
'htc s510b rhyme',3,3,5,5,5,5,10,10,10,10,10
'rim blackberry 9900 bold',1,5,6,6,6,6,6,6,6,11,11
