@relation 253手机配置(all)_经过过滤

@attribute 手机型号 {'samsung gt-n7000 / i9220 galaxy note','samsung  gt-i8700 omnia 7','htc touch hd2 (t8585)','nokia 2610','samsung gt-i9000 galaxy s','nokia e5-00','nokia 1661 / 1662','nokia 6630','nokia 6303 classic','nokia n81','samsung gt-i9100 galaxy s ii','nokia 6500 classic','nokia n8-00','nokia e52','nokia n72','sony lt22i xperia p','samsung sgh-f480 / f488','nokia lumia 520','samsung gt-s7500 galaxy ace plus','samsung sgh-d608','sony lt26w xperia acro s','nokia lumia 610','motorola xt702 milestone','vinus vs4000','nokia 5800i xpressmusic','oppo x909','htc g7 wildfire (a3333)','htc s510b rhyme','rim blackberry 9900 bold','nokia c1-01','sony ericsson x10a xperia','htc a510s g13 wildfire s','motorola milestone 2 a953','sony xperia v lt25i','motorola mb860 / me860 atrix 4g','htc 710e g14 sensation','xiaomi m2','palm treo 850','rim blackberry 9780 bold','motorola mb525+','samsung gt-i9003 galaxy s','nokia e63','nokia n78','rim blackberry bold 9900','nokia e71','nokia e66','nokia n80','samsung gt-i9220 / n700 galaxy s iii / galaxy note','nokia 5320','samsung gt-i9003 galaxy s / sl','nokia 5228 / 5233','samsung gt-n7100 galaxy note ii','nokia e90','htc s510e desire s','sony ericsson e16i w8 walkman','nokia 5230','sony ericsson mt11i xperia neo v','nokia n900','nokia 6300','samsung gt-p1000 galaxy tab','nokia 5300','htc a510e g13 wildfire s','nokia 5233','motorola me865 atrix 2','apple iphone 4s','sony lt29i xperia tx','sony ericsson lt18i xperia arc s','nokia e6-00','htc google nexus one','htc a8181 desire','samsung gt-s5660 galaxy gio','nokia c2-01','lg p920 optimus 3d','nokia lumia 920','samsung gt i9300 galaxy s iii','samsung sgh-t959','i9100 gt-i9100 galaxy s ii','samsung gt-i8160 galaxy ace ii','meizu mx2','nokia 6720 classic','nokia 5800 xpressmusic','nokia n97 / n97i','samsung gt-i9220 / n7000 galaxy note','samsung gt-i9000 galaxy','htc desire s s510e','nokia c5-00','sony ericsson k750','htc a9191 desire hd','htc z710e/z715e (g14/g18) sensation xe','sony st27i xperia go','nokia n9','htc hd2 t8585','htc desire hd (a9191)','samsung gt-s5830 galaxy ace','sony ericsson lt15i xperia arc','lenovo k860','nokia lumia 900','motorola q 9h','samsung gt-s5670 galaxy fit','htc one v','htc touch hd (t8282)','samsung gt--i9100 galaxy s ii','motorola mb525 defy','samsung gt-s5830i galaxy ace','htc 7 mozart t8698','nokia c6-01','samsung sgh-e720','sony st26i xperia j','nokia n76','sony ericsson e15i xperia x8','htc hero','htc s710e g11 incredible s','nokia 5250','htc c720e one x','sony ericsson st15i xperia mini','htc one s','htc z715e (g18) sensation xe','nokia lumia 800','rim blackberry q10','samsung gt-i9103 galaxy s ii','sony ericsson j220','sony ericsson lt26i xperia s','htc z710e / z715e (g14 / g18) sensation xe','sony mt25i xperia neo l','sony lt26i xperia s','sony lt26i','htc g16 chacha (a810e)','rim blackberry 9520 storm ii','nokia 1200','samsung gt-i5800 galaxy 3','nokia 6600','samsung gt-i9300 galaxy s iii','nokia c5-03','nokia n86','lg e510','htc s510e desire s (saga)','vinus v6','nokia 5235','samsung sgh-c406','htc desire hd a9191','nokia 5320 xpressmusic','sony lt28h','htc legend (a6363)','sony c2105 xperia l','motorola mb860 / mb861 / me860 atrix 4g','motorola xt910 droid razr','sony ericsson r800i xperia play z1i','sony ericsson wt19i live with walkman','htc s510e / g12 desire s','nokia e50','nokia c6-00','tcl mobile tcl3688','samsung gt-i9070 galaxy s advance','nokia 500','samsung gt-i9001 galaxy s plus','rim blackberry curve 8520','nokia n97','htc desire g7 (a8181)','nokia c7-00','htc x710e raider 4g velocity','htc g7 desire z (a7272)','rim blackberry bold 9780 onyx','apple iphone4s','samsung gt-n7100 galaxy note 2','sony ericsson mt15i xperia neo','lg p880 optimus 4x hd','sony lt26ii xperia sl','samsung gt-i9100g galaxy s ii','nokia n95','nokia e65','nokia lumia 820','sony l36h / c6603 xperia z','nokia lumia 620','rim blackberry bold 9780 onyx 2','htc s720e one x','htc g13 wildfire s (a510e)','nokia 500 fate','samsung gt-s5360','nokia 6120 classic','rim blackberry 8800','samsung gt-s5360 galaxy y','nokia n97-4 mini','htc s710d droid incredible 2','lg e960','nokia n8','samsung gt-i9250 galaxy nexus','htc amaze 4g','nokia 6650','nokia 2730 classic','nokia n73','nokia 6085','nokia 3110 classic','nokia 5700 xpressmusic','nokia n85','samsung gt-i9082 galaxy grand duos','nokia e75','sony l36h / c6602 xperia z','nokia 5230 xpressmusic','htc evo 3d x515m','htc g8 wildfire (a3333)','nokia n97 mini','nokia 6210 slide','samsung gt-s8500 wave','sony st25i xperia u','motorola mb860 atrix 4g','samsung gt-i9500 galaxy s4','samyang gt-s5570 galaxy mini','htc t328d desire vc','htc c510e g15 salsa / weike','nokia lumia 710','rim blackberry bold 9700','nokia 5530 xpressmusic','nokia e72','htc g6 legend (a6363)','samsung gt-i9023 nexus s','sony ericsson st18i xperia ray','palm treo 650','htc s720e one x (g23)','nokia x6-00','motorola mb300 / me600 (backflip / enzo / motus)','htc x315e sensation xl','sony mt27i xperia sola','samsung sgh-i997 infuse 4g','rim blackberry 9790 bold','motorola me525 defy','htc s710e incredible s','sony ericsson sk17i xperia mini pro','htc g11 / s710e incredible s','nokia x6','htc g7 desire (a8181)','htc z710e g14 sensation','nokia x7-00','samsung gt-i9505 galaxy s iv','lg p970 optimus black'}
@attribute 手机品牌 {samsung,htc,nokia,sony,motorola,vinus,oppo,blackberry,xiaomi,palm,apple,lg,meizu,lenovo,tcl,samyang}
@attribute 是否gsm {是,否}
@attribute 是否cdma {是,否}
@attribute 网络类型 {单卡双模,单卡单模,双卡单模,单卡多模,双卡双模}
@attribute 电池容量 numeric
@attribute 电池拆卸 {是,否}
@attribute 后置摄像 numeric
@attribute 外观设计 {直板,滑盖,翻盖,平板}
@attribute 是否触屏 {触屏,否,单触屏}
@attribute 操作系统 {android,windows,symbian,嵌入式,blackberry,miui,maemo,ios,meego,bada,palm}
@attribute cpu厂家 {'exynos 4210',qsd8250,'arm cortex-a8',arm11,'st-ericsson u8500',msm8227,msm7227-1t,msm8260,msm7227a,omap3430,mtk6536,apq8064,msm8255,msm8655,msm7227,omap3630,msm8960,'nvidia tegra2','marvel pxa920',omap3620,'exynos 4412',omap4430,'苹果 a5',msm8260a,arm6,mx5s,apq8055,msm7201a,omap3610,msm7200a,'nvidia tegra3','marvell pxa930',msm7227t,mt6515m,msm8230,omap4460,'st-ericsson db8500',qsd825,msm8660,msm7230,arm9,'marvell xscale pxa272',s3,bcm28155,msm7225,'exynos 5410',msm7627a,'marvell pxa270',apq8064t}
@attribute CPU性能 numeric
@attribute CPU核数 numeric
@attribute 主屏尺寸 numeric
@attribute 分辨率 numeric
@attribute 曝光日期 numeric
@attribute 是否有无线 {是,否}

@data
'samsung gt-n7000 / i9220 galaxy note',samsung,是,是,单卡双模,2500,是,800,直板,触屏,android,'exynos 4210',1433,2,5.3,1024000,2011,是
'samsung  gt-i8700 omnia 7',samsung,是,是,单卡双模,1500,是,500,直板,触屏,windows,qsd8250,1024,?,4,384000,2010,是
'htc touch hd2 (t8585)',htc,是,是,单卡双模,1230,是,500,直板,触屏,windows,qsd8250,1024,?,4.3,384000,2010,是
'nokia 2610',nokia,是,否,单卡单模,970,是,0,直板,否,symbian,?,?,?,?,16384,2006,否
'samsung gt-i9000 galaxy s',samsung,是,是,双卡单模,1500,是,500,直板,触屏,android,'arm cortex-a8',1024,?,4,384000,2010,是
'nokia e5-00',nokia,是,是,单卡双模,1200,是,500,直板,否,symbian,arm11,600,?,2.36,76800,2011,是
'nokia 1661 / 1662',nokia,是,否,单卡单模,720,是,0,直板,否,symbian,?,?,?,1.8,20480,2009,否
'nokia 6630',nokia,是,否,单卡单模,900,是,123,直板,否,symbian,?,?,?,?,36608,2004,否
'nokia 6303 classic',nokia,是,否,单卡单模,1050,是,320,直板,否,symbian,?,?,?,2.2,76800,2009,否
'nokia n81',nokia,是,是,单卡双模,1050,是,200,滑盖,否,symbian,arm11,369,?,2.4,76800,2007,是
'samsung gt-i9100 galaxy s ii',samsung,是,是,单卡双模,1650,是,800,直板,触屏,android,'exynos 4210',1228,2,4.3,384000,2011,是
'nokia 6500 classic',nokia,是,否,单卡单模,830,是,200,直板,否,symbian,?,?,?,2,76800,2007,否
'nokia n8-00',nokia,是,是,单卡双模,1200,否,1200,直板,否,symbian,arm11,680,1,3.5,230400,2010,是
'nokia e52',nokia,是,是,单卡双模,1500,是,320,直板,否,symbian,arm11,600,?,2.4,76800,2009,是
'nokia n72',nokia,是,否,单卡单模,970,是,200,直板,否,symbian,?,?,?,2.1,36608,2006,否
'sony lt22i xperia p',sony,是,是,单卡双模,1305,否,800,直板,触屏,android,'st-ericsson u8500',1024,2,4,518400,2012,是
'samsung sgh-f480 / f488',samsung,是,是,单卡双模,1000,是,500,直板,触屏,嵌入式,?,?,?,2.8,76800,2008,否
'nokia lumia 520',nokia,是,是,单卡双模,1430,是,500,直板,触屏,windows,msm8227,1024,2,4,384000,2013,是
'samsung gt-s7500 galaxy ace plus',samsung,是,是,单卡双模,1300,是,500,直板,触屏,android,msm7227-1t,1024,1,3.65,153600,2012,是
'samsung sgh-d608',samsung,是,否,单卡单模,900,是,200,滑盖,否,嵌入式,?,?,?,?,76800,2005,否
'sony lt26w xperia acro s',sony,是,是,单卡双模,1840,否,1210,直板,触屏,android,msm8260,1536,2,4.3,921600,2012,是
'nokia lumia 610',nokia,是,是,单卡双模,1300,是,500,直板,触屏,windows,msm7227a,800,1,3.7,384000,2012,是
'motorola xt702 milestone',motorola,是,是,单卡双模,1390,是,500,滑盖,触屏,android,omap3430,550,1,3.7,409920,2010,是
'vinus vs4000',vinus,是,否,双卡单模,1450,是,30,直板,触屏,嵌入式,mtk6536,1536,1,3.2,153600,2011,是
'nokia 5800i xpressmusic',nokia,是,是,单卡双模,1320,是,320,直板,触屏,symbian,arm11,434,?,3.2,230400,2009,否
'oppo x909',oppo,是,是,单卡双模,2500,否,1300,直板,触屏,android,apq8064,1536,4,5,2073600,2013,是
'htc g7 wildfire (a3333)',htc,是,是,单卡双模,1400,是,500,直板,触屏,android,qsd8250,1024,?,3.7,384000,2010,是
'htc s510b rhyme',htc,是,是,单卡双模,1600,否,500,直板,触屏,android,msm8255,1024,1,3.7,384000,2011,是
'rim blackberry 9900 bold',blackberry,是,是,单卡双模,1230,是,500,直板,否,blackberry,msm8655,1228,1,2.8,307200,2011,是
'nokia c1-01',nokia,是,否,单卡单模,800,是,30,直板,否,symbian,?,?,?,1.8,20480,2010,否
'sony ericsson x10a xperia',sony,是,是,单卡双模,1500,是,810,直板,触屏,android,qsd8250,1024,?,4,409920,2010,是
'htc a510s g13 wildfire s',htc,是,是,单卡双模,1230,是,500,直板,触屏,android,msm7227,600,1,3.2,153600,2011,是
'motorola milestone 2 a953',motorola,是,是,单卡双模,1390,是,500,滑盖,触屏,android,omap3630,1024,1,3.7,409920,2010,是
'sony xperia v lt25i',sony,是,是,单卡双模,1750,是,1300,直板,触屏,android,msm8960,1536,2,4.3,921600,2012,是
'motorola mb860 / me860 atrix 4g',motorola,是,是,单卡双模,1880,是,500,直板,触屏,android,'nvidia tegra2',1024,2,4,518400,2011,是
'htc 710e g14 sensation',htc,是,是,单卡双模,1520,是,800,直板,触屏,android,msm8260,1228,2,4.3,518400,2011,是
'xiaomi m2',xiaomi,是,是,单卡双模,2000,是,800,直板,触屏,miui,apq8064,1536,4,4.3,921600,2012,是
'palm treo 850',palm,是,否,单卡单模,1500,是,200,直板,否,windows,?,400,?,?,102400,2002,否
'rim blackberry 9780 bold',blackberry,是,是,单卡双模,1450,是,500,直板,否,blackberry,'marvel pxa920',624,1,2.44,172800,2010,是
'motorola mb525+',motorola,是,是,单卡双模,1650,是,500,直板,触屏,android,omap3620,1024,1,3.7,409920,2011,是
'samsung gt-i9003 galaxy s',samsung,是,是,单卡双模,1650,是,500,直板,触屏,android,omap3630,1024,1,4,384000,2011,是
'nokia e63',nokia,是,是,单卡双模,1500,是,200,直板,否,symbian,arm11,369,?,2.36,76800,2008,否
'nokia n78',nokia,是,是,单卡单模,1200,是,320,直板,否,symbian,arm11,369,?,2.4,76800,2008,否
'rim blackberry bold 9900',blackberry,是,是,单卡双模,1230,是,500,直板,否,blackberry,msm8655,1228,1,2.8,307200,2011,是
'nokia e71',nokia,是,是,单卡双模,1500,是,320,直板,否,symbian,arm11,369,?,2.36,76800,2008,否
'nokia e66',nokia,是,是,单卡单模,1000,是,320,滑盖,否,symbian,arm11,369,?,2.4,76800,2008,否
'nokia n80',nokia,否,是,单卡单模,890,是,320,滑盖,否,symbian,?,?,?,?,146432,2006,否
'samsung gt-i9220 / n700 galaxy s iii / galaxy note',samsung,是,是,单卡双模,2500,是,800,直板,触屏,android,'exynos 4210',1433,2,5.3,1024000,2011,是
'nokia 5320',nokia,是,是,单卡单模,890,是,200,直板,否,symbian,arm11,369,?,2,76800,2008,否
'samsung gt-i9003 galaxy s / sl',samsung,是,是,单卡双模,1650,是,500,直板,触屏,android,omap3630,1024,1,4,384000,2011,是
'nokia 5228 / 5233',nokia,是,否,单卡单模,1320,是,200,直板,单触屏,symbian,arm11,434,1,3.2,230400,2010,否
'samsung gt-n7100 galaxy note ii',samsung,是,是,单卡双模,3100,是,800,直板,触屏,android,'exynos 4412',1638,4,5.5,921600,2012,是
'nokia e90',nokia,是,是,单卡双模,1500,是,320,翻盖,否,symbian,arm11,332,?,4,281600,2007,否
'htc s510e desire s',htc,是,是,单卡双模,1450,是,500,直板,触屏,android,msm8255,1024,?,3.7,384000,2011,是
