VERSION,BRAND
samsung sgh-r220,samsung
motorola cc3-41a11,motorola
motorola mt3-411f11,motorola
sagem my3042,sagem
samsung sgh-q200,samsung
innostream t-0203,innostream
samsung sgh-s108,samsung
motorola mc3-41e12,motorola
mikom mo4000,mikom
benefon esc!,benefon
nec db3800,nec
sanyo v-sa702 / sup-700 / v801sa,sanyo
lg kf600,lg
sanmeng m666,sanmeng
siemens c55,siemens
mirae mgh-840c,mirae
capitel c8028,capitel
vkmobile vgt299,vkmobile
g'alif m88 / v800,g'alif
vitelcom tsm-31,vitelcom
oko 2101 / 2201 / 4201,oko
newgen dragon s320,newgen
nokia 3100,nokia
philips xenium 9@9++,philips
samsung sgh-x507,samsung
sharp gx20 / gx21 / gx22 / gx27 / gx20n,sharp
haier p5,haier
edinburgh prepay,edinburgh
samsung gt-n7000 / i9220 galaxy note,samsung
samsung sgh-a800,samsung
nokia e61i,nokia
nokia 6070,nokia
gnine u909,gnine
general mobile g444,general mobile
arima 2201,arima
tcl mobile 3788c,tcl mobile
nokia 3510i / 3530,nokia
lc c6,lc
tcl mobile tcl x7,tcl mobile
bystar v300gc,bystar
xfone royal,xfone
lg kg375,lg
gnine d18,gnine
rv t33(+) / t66(+) / t99(+),rv
amio a9+,amio
motorola e2 rokr,motorola
lg c1200,lg
samsung sgh-d410c,samsung
schlumberger payphones sas access / grafit / dextel,schlumberger payphones sas
samsung  gt-i8700 omnia 7,samsung
motorola 2002,motorola
nokia 6790b slide,nokia
kejian k319,kejian
motorola v197,motorola
el fouad mutec m30,el fouad
samsung sgh-i718,samsung
cect t880,cect
energy ict webrtu / rtu+,energy ict
cect t688,cect
matsushita m342i,matsushita
nokia 6288,nokia
innostream 55,innostream
nony s215,nony
telsda t608,telsda
htc touch hd2 (t8585),htc
c-tel kt536,c-tel
c-tel kt6108,c-tel
siemens sl65,siemens
siemens a57,siemens
virtue v50,virtue
nokia 2650,nokia
nokia 1616,nokia
noriko s20,noriko
motorola v400p,motorola
maxx ma440 / ma440 / mx 292,maxx
nokia 2610,nokia
samsung sgh-e800c,samsung
bellwave bpp-cl100,bellwave
motorola z6,motorola
motorola v180,motorola
funny v4 / a8,funny
winstar w30 / w50 / w60 / w70 / w80,winstar
sony ericsson k610i,sony ericsson
benq p50,benq
samsung sgh-z107m,samsung
samsung gt-i9000 galaxy s,samsung
airfone af24,airfone
nokia 7310 classic,nokia
nokia e5-00,nokia
sony ericsson v800,sony ericsson
kinglane kl-6301,kinglane
motorola q 8,motorola
motorola v547,motorola
sony ericsson j200i,sony ericsson
hi-tech ht-1000,hi-tech
kingsun f85,kingsun
nokia 1661 / 1662,nokia
samsung gt-c3222 ch@t,samsung
st s80,st
vs & me v5,vs & me
elitek x6200,elitek
samsung gt-s3353 ch@t 335,samsung
fela 960,fela
img 801 / i8 / i6 / i9,img
anycool t818,anycool
vertice vs99,vertice
nokia 3120b,nokia
nokia 5220b xpressmusic,nokia
matsu g100,matsu
vaino v878,vaino
sony ericsson k750i,sony ericsson
huawei 810,huawei
lephone a3,lephone
nokia 6630,nokia
samsung sgh-z140,samsung
ericsson f3507g,ericsson
samsung sgh-x620c,samsung
htc tytn,htc
vkmobile 1020,vkmobile
jxd 81,jxd
red apple t8,red apple
ztc ex115+ / c702+ / z6800 / e52,ztc
nokia 6303 classic,nokia
nokia n81,nokia
g crown g100 / g300 / g700 / g900,g crown
nxd h800 optima,nxd
nokia 7500b,nokia
u-sky u68 / u55 / u909 / u919,u-sky
lg gb102,lg
sagem my401x,sagem
motorola l6 pebl,motorola
samsung gt-i9100 galaxy s ii,samsung
rim blackberry curve 8520 gemini,rim
nokia 6500 classic,nokia
motorola v3i,motorola
motorola c140,motorola
juji l11 / s02,juji
nokia n8-00,nokia
e-ten glofiish x600,e-ten
siemens cf76,siemens
motorola storno cd330,motorola
bosch m-com 506,bosch
motorola cd930,motorola
telit gm310,telit
telit gm271,telit
forme f8,forme
cxtel s86 / 790 / d90 / d88,cxtel
lg 900,lg
nokia e52,nokia
nokia n72,nokia
myfone w661i,myfone
nokia 6234,nokia
gnine u800,gnine
hrda i9++i,hrda
toshiba ts30,toshiba
samsung sgh-u700,samsung
sunpa s200,sunpa
jxd ups44,jxd
nokia 7373,nokia
lc a101 / a102,lc
option fusion+,option
palm pre plus,palm
philips europorty,philips
ascom se932 am carat,ascom
nokia 2110i,nokia
nokia 8110,nokia
nokia 6138,nokia
trinity t6,trinity
dr. neuhaus dnt8085,dr. neuhaus
nec 988w,nec
ericsson th688,ericsson
ericsson,ericsson
mobilink pluto,mobilink
samsung sgh-200,samsung
sagem rc720,sagem
mitsubishi mt35 / mt235 / mt435,mitsubishi
sagem rd750 e t / x / r,sagem
alcatel one touch pocket sfr,alcatel
sagem dc820,sagem
sagem d412pp,sagem
alcatel one touch view db,alcatel
wavecom wmod2-g900 / 1800,wavecom
sagem m314-b5,sagem
konka 3118,konka
ericsson r250s pro,ericsson
motorola m3588,motorola
apple iphone 3g,apple
nokia 1200b,nokia
lg 900g,lg
lg gs170,lg
apple iphone 4,apple
sony ericsson w20i,sony ericsson
alcatel one touch 302 / 303,alcatel
sagem mw976,sagem
videocon v1604,videocon
micromax x250,micromax
siemens s15,siemens
sony cmd-z18,sony
motorola g520,motorola
wavecom q2426b,wavecom
sony ericsson t2002,sony ericsson
lg cg300,lg
siemens a31a,siemens
alcatel ot-e206,alcatel
hengle h6,hengle
tecno t77,tecno
tecno hd61,tecno
lephone a2,lephone
sewon sg-2000e,sewon
legend xoceco g.plus i800,legend xoceco
sendo s200 / s210 / s220,sendo
shintom gd3000 talk,shintom
maxon mx6836,maxon
vitelcom movistar tsm6,vitelcom
nokia 6070b,nokia
g'alif x2 / x3,g'alif
anycool i98,anycool
sony ericsson gr47 / gt47,sony ericsson
capitel q80,capitel
compal tg6-t,compal
wongs electronics c2188,wongs electronics
matsushita cf-27sb,matsushita
konka r798,konka
rocker carzy,rocker
lg g7100,lg
lg w3000a,lg
lenovo p780,lenovo
chi mei amadeus,chi mei
panasonic eb-gd55,panasonic
smart wgh-200,smart
soutec s681,soutec
flextronics cc5,flextronics
simoco sm498,simoco
motorola mt3-411a21,motorola
samsung sgh-s300,samsung
chinalink raks 3525 / sitel gm824,chinalink
samsung sgh-p318,samsung
samsung sgh-c417,samsung
htc p4350,htc
samsung sgh-x481,samsung
samsung sgh-t509,samsung
gnine m5,gnine
ezze mobile ezio e55fc,ezze mobile
gnine m1,gnine
pantech g310,pantech
motorola v878,motorola
sewon sg-2880cs,sewon
sony ericsson w580i,sony ericsson
samsung sgh-p408,samsung
funny v100,funny
suncorp s188,suncorp
ajanta quartz a1800,ajanta
sony lt22i xperia p,sony
lg ku800,lg
my phone m6000,my phone
tinmo f788,tinmo
motorola k1,motorola
lephone s2,lephone
sony ericsson t628 / t630,sony ericsson
samsung sgh-x100,samsung
cect e2800+,cect
nokia 6020b,nokia
sis qool q108,sis
yenhwong yh 555,yenhwong
samsung sgh-e578,samsung
maxx mx170,maxx
maxx mx523,maxx
amio m6,amio
amoi wp-s2 skypephone,amoi
kenxinda c6,kenxinda
hx h73 / h6223 / h900 / h68 / h70,hx
artis a4,artis
samsung sgh-e820,samsung
telsda t-31i,telsda
maxwood m5110 / m5120 / m5130 / 9700,maxwood
philips 760,philips
cect ty292,cect
siemens siemens s65,siemens
eiroga e71,eiroga
metom s66i,metom
ztc 6151 / 2710 / 6070 / 5700 / c3,ztc
samsung sgh-f480 / f488,samsung
funny v-1,funny
platinium s500,platinium
option globetrotter combo edge,option
samsung sgh-u600,samsung
china 1100,china
samsung sgh-e236,samsung
sky mobiles moon m.d,sky mobiles
sony ericsson w300,sony ericsson
mex 3600,mex
sony ericsson k530i,sony ericsson
lg b2000,lg
vkmobile 570,vkmobile
longtel e200,longtel
rim blackberry bold 9700 / onyx,rim
wm s80 / s81 / s90 / s400,wm
sony ericsson w800c,sony ericsson
amoi m350,amoi
onda n4000 black sea,onda
rim blackberry torch 9810,rim
samsung sgh-e820t,samsung
nokia lumia 520,nokia
motorola a3100,motorola
nony s228,nony
samsung sgh-d808,samsung
lg c2500,lg
samsung gt-e2121b,samsung
sony ericsson s500i,sony ericsson
nony s216,nony
bystar f220e,bystar
samsung sgh-x628,samsung
mi-fone mi-qx,mi-fone
extreme x7777,extreme
motorola e770v,motorola
nktel k700 / k700+,nktel
xt t800,xt
orion tv203,orion
alcatel one touch x050,alcatel
motorola l2 / l6,motorola
v-max bomb,v-max
che biao zhi xing hy-600,che biao zhi xing
telit gm862,telit
htc dream (g1 android),htc
nokia 1209,nokia
xs.top-1 011,xs.top-1
samsung gt-s7500 galaxy ace plus,samsung
forme f220,forme
icell hifi-10,icell
samsung sgh-e330,samsung
tinmo f900,tinmo
sony ericsson j230,sony ericsson
afcom 7610,afcom
gild s90,gild
g-tide g19 / g35 / g707 / g153 / g160,g-tide
alfatel h1,alfatel
samsung sgh-d608,samsung
riviera mobile r2,riviera mobile
samsung sgh-e910,samsung
jinceng e2,jinceng
motorola gc87,motorola
siemens s10active,siemens
motorola l7089,motorola
samsung sgh-d528,samsung
sagem my501x,sagem
mbo e71 / e71i / e66i,mbo
nokia 6102i,nokia
g-tide g1 / w1 / n73 / v10 / v11,g-tide
maxx mx480,maxx
samsung sgh-p308,samsung
jwd u826,jwd
samsung sgh-e900,samsung
cect v718,cect
sharp tq-g400y / tq-g400z / tq-g400e,sharp
nokia 3110,nokia
amper datos licea 4000 / 1800,amper datos
ericsson a1028s,ericsson
ericsson r520mc,ericsson
sagem rc820,sagem
sagem d413fb,sagem
sagem m22-f2,sagem
sagem mc935 essential,sagem
trium geo wap,trium
ericsson gm518,ericsson
samsung sgh-2100e,samsung
motorola v2288,motorola
nokia 5030c-2b,nokia
